Host;IPs;Grupos
3650-LUX-KIR-24-AB;10.231.235.9;UNIDADE INTERNACIONAL
N/A;;
3650-LUX-KIR-48-A;10.231.233.14;UNIDADE INTERNACIONAL
3650-LUX-KIR-48-B;10.231.233.15;UNIDADE INTERNACIONAL
3662_COR_BAN_AL_HOM;10.195.80.65;Migrados
3750-CTI-TELEMPRESA1;10.199.85.52;SWITCH, SWITCH\CISCO
3750-CTI-TELEMPRESA2;10.199.85.53;SWITCH, SWITCH\CISCO
3750-FWAL-01;10.195.1.14;SWITCH, SWITCH\CISCO
3750-FWAL-02;10.195.1.10;SWITCH, SWITCH\CISCO
3750-fwnc-01;10.206.248.17;SWITCH, SWITCH\CISCO
3750-fwnc-02;10.206.248.18;SWITCH, SWITCH\CISCO
3750-Gere-01;10.199.80.160;SWITCH, SWITCH\CISCO
3750-Gere-02;10.199.6.12;SWITCH, SWITCH\CISCO
3750-Gere-03;10.196.70.13;SWITCH, SWITCH\CISCO
3750-GERE-04;10.196.70.14;SWITCH, SWITCH\CISCO
3750-Gere-05;10.192.145.252;SWITCH, SWITCH\CISCO
3845-COR-BAN-CT-A;10.196.233.50;MigradosNok
3845-COR-BAN-CT-B;10.199.82.8;MigradosNok
3845-EMP-EXT-CT-A;10.199.82.6;Migrados
3845-EMP-EXT-CT-B;10.199.82.7;Migrados
3850-LUX-KIR-24-B;10.231.235.10;UNIDADE INTERNACIONAL
4948-COR-BAN-CT-D;10.197.60.146;SWITCH, SWITCH\CISCO
4948_SPB_HML_AL_B;10.184.140.2;SWITCH, SWITCH\CISCO
6509E_HM_PE_01;10.195.82.81;SWITCH, SWITCH\CISCO
7204_SPB_HML_AL_A;10.195.80.138;Migrados
ag-ise-log-202a;10.236.203.147;MigradosNok
ag-ise-log-202b;10.236.203.148;MigradosNok
ag-ise-mg-201a;10.236.203.145;MigradosNok
ag-ise-mg-201b;10.236.203.146;MigradosNok
ag-ise-psn-200a;10.236.203.141;MigradosNok
ag-ise-psn-200b;10.236.203.142;MigradosNok
